Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 8-25-2017  7:30PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  FrontPanel.ngd
output file: FrontPanel_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GCK3,,,,,,,,,,
P2,PHA,I,I/O,INPUT,,,,,,,,,
P3,PHB,I,I/O,INPUT,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,DIR,O,I/O,OUTPUT,,,,,,,,,
P6,IRQ,O,I/O,OUTPUT,,,,,,,,,
P7,MOSI,I,I/O,INPUT,,,,,,,,,
P8,SCLK,I,I/O,INPUT,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,SS,I,I/O,INPUT,,,,,,,,,
P13,MISO,O,I/O,OUTPUT,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,TIE,,I/O,,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,RESET,I,I/O,INPUT,,,,,,,,,
P19,BYTE_IN,O,I/O,OUTPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,CLK_50,O,I/O,OUTPUT,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TIE,,I/O,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,TIE,,I/O/GSR,,,,,,,,,,
P34,TIE,,I/O/GTS2,,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,TIE,,I/O/GTS1,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,LED_2,O,I/O,OUTPUT,,,,,,,,,
P41,LED_1,O,I/O,OUTPUT,,,,,,,,,
P42,LED_0,O,I/O,OUTPUT,,,,,,,,,
P43,ECLK,GCK,I/O/GCK1,,,,,,,,,,
P44,TIE,,I/O/GCK2,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


